12	6
35	9
40	6
51	10
53	8
56	9
58	10
87	10
88	8
96	4
108	8
122	4
125	8
126	3
137	2
143	6
144	8
169	8
174	8
192	5
198	8
212	8
215	8
219	10
234	1
238	8
254	7
259	8
272	9
276	5
280	8
289	6
292	5
296	8
303	7
319	4
324	4
351	8
377	8
386	8
394	10
413	2
426	6
440	1
448	10
449	4
452	4
459	2
463	2
465	6
469	10
476	9
480	2
493	7
503	9
512	6
516	9
524	8
533	8
535	10
543	7
558	2
559	2
572	8
576	6
585	2
595	2
597	8
600	3
616	8
632	6
633	5
642	4
650	6
658	8
660	6
662	10
688	10
694	10
696	4
707	4
725	2
739	2
742	7
745	4
764	10
780	4
786	2
794	6
798	6
820	8
826	9
831	10
837	6
839	5
844	4
864	4
885	4
887	10
911	8
928	7
933	6
962	4
964	9
966	5
971	10
984	4
992	6
1012	8
1016	10
1018	5
1021	6
1060	4
1063	2
1089	8
1100	10
1110	8
1111	6
1129	6
1137	9
1139	8
1151	10
1173	2
1177	6
1198	8
1206	10
1214	6
1218	8
1223	8
1233	4
1235	2
1265	10
1270	10
1271	4
1281	10
1288	7
1294	5
1296	4
1297	8
1301	4
1302	10
1304	8
1305	4
1320	6
1332	4
1336	6
1347	4
1352	10
1367	6
1377	6
1378	7
1391	8
1392	5
1398	7
1408	8
1412	6
1419	1
1423	2
1440	5
1450	8
1460	8
1466	9
1467	6
1479	6
1485	8
1499	7
1515	8
1520	8
1527	5
1535	10
1541	4
1545	6
1552	6
1558	1
1562	8
1569	9
1582	9
1590	6
1597	6
1609	6
1630	10
1632	9
1637	4
1644	2
1649	4
1651	7
1654	2
1667	1
1697	8
1724	6
1741	9
1746	8
1762	10
1772	2
1774	8
1777	6
1780	10
1786	8
1805	8
1817	6
1823	4
1841	7
1854	8
1858	6
1861	4
1870	7
1871	8
1879	2
1891	8
1898	4
1913	2
1915	7
1918	5
1922	8
1924	2
1925	6
1930	6
1940	4
1960	4
1973	2
1977	6
1981	8
1987	6
1988	7
1992	2
